Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Dayofweek,month
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.0,4.0,8.0,10.0,16.0,13.0,7.0,11.0,16.0,10.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,20.0,32.0,38.0,36.0,33.0,34.0,35.0,36.0,37.0,27.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,3.0,6.0,10.0,13.0,17.0,13.0,16.0,10.0,10.0,12.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.0,5.0,7.0,11.0,13.0,13.0,10.0,8.0,10.0,6.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,16.0,15.0,15.0,14.0,9.0,13.0,10.0,5.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,2.252574748236668,14.0,29.0,49.0,57.0,56.0,45.0,9.0,21.0,34.0,50.0,6.180767584534171,5.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,1.8216909936970167,18.0,22.0,22.0,6.0,8.0,34.0,49.0,38.0,31.0,14.264338187774387,5.753596049946591,5.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,2.0,5.0,12.0,22.0,28.0,11.0,19.0,6.0,9.0,19.0,22.0,11.0,4.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.629458616858817,20.0,34.0,39.0,39.0,39.0,38.0,38.0,33.0,31.0,21.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,34.0,20.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,1.629458616858817,10.0,8.0,17.0,19.0,18.0,20.0,25.0,23.0,29.0,15.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,30.0,41.0,48.0,49.0,47.0,37.0,29.0,6.0,6.0,14.0,5.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,1,5
0.0,0.0,0.0,0.0,0.0,0.37996234379364907,2.1484339282946023,7.535083730322873,18.50941270693155,27.690540733342846,32.65530032814952,88.0,92.0,79.0,56.0,30.0,13.0,25.0,6.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.39310799084502585,2.036994560028884,8.944259753328765,54.0,59.0,73.0,79.0,72.0,69.0,53.0,42.0,50.0,11.0,2.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,2.5368673568160105e-05,0.2997578828571955,1.629458616858817,15.0,32.0,42.0,39.0,38.0,36.0,29.0,26.0,9.0,10.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,15.0,24.0,26.0,34.0,36.0,36.0,36.0,34.0,22.0,11.0,4.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,16.0,27.0,27.0,32.0,38.0,14.0,32.0,41.0,33.0,23.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.4541304037665858,1.9754861949897478,28.0,16.0,38.0,37.0,39.0,45.0,35.0,20.0,26.0,29.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,2,5
0.0,0.0,0.0,0.0,0.0,0.2997578828571955,5.0,16.0,29.0,39.0,47.0,35.0,19.0,35.0,25.0,8.0,5.0,9.0,4.0,4.783713355826006e-05,0.0,0.0,0.0,0.0,2,5
